subfolder,folder,dataset,gaussian_num_points,results,rl_params.reward_function,rl_params.base_model,rl_params.rl_lr,rl_params.complexity_penalty
21,20241018_175223,20Puppy,1475947,"{'ours_30000': {'SSIM': 0.9585493206977844, 'PSNR': 33.14375686645508}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.005
22,20241018_162531,01Gorilla,20404,"{'ours_30000': {'SSIM': 0.9394320845603943, 'PSNR': 29.67633628845215}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.005
22,20241018_163633,18Obesobeso,41282,"{'ours_30000': {'SSIM': 0.9497935771942139, 'PSNR': 31.960521697998047}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.005
22,20241018_170244,20Puppy,101256,"{'ours_30000': {'SSIM': 0.9544601440429688, 'PSNR': 31.580190658569336}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.005
22,20241018_164850,19Bear,106379,"{'ours_30000': {'SSIM': 0.9557748436927795, 'PSNR': 32.88060760498047}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.005
23,20241018_172743,20Puppy,373924,"{'ours_30000': {'SSIM': 0.9563184380531311, 'PSNR': 32.1587028503418}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.005
23,20241018_162531,01Gorilla,50826,"{'ours_30000': {'SSIM': 0.9424023628234863, 'PSNR': 30.214096069335938}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.005
23,20241018_170229,19Bear,436571,"{'ours_30000': {'SSIM': 0.9566727876663208, 'PSNR': 33.17759323120117}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.005
23,20241018_164244,18Obesobeso,105387,"{'ours_30000': {'SSIM': 0.950924813747406, 'PSNR': 32.32677459716797}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.005
24,20241018_162531,,,,,,,
25,20241018_162543,,,,,,,
26,20241018_162539,,,,,,,
27,20241018_163718,19Bear,39453,"{'ours_30000': {'SSIM': 0.9540720582008362, 'PSNR': 32.32692337036133}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.001
